Book,Character,F1,h,wF1,wh
The Lord of the Rings,Smaug,0.4882773756980896,1.2038291765201437e-15,0.5097929835319519,3.473398100495071e-17
The Lord of the Rings,Gimli,0.5105307102203369,1.216968090269469,0.5263262987136841,0.016622484906822055
The Lord of the Rings,Elrond,0.5343019962310791,3.270828884568962e-05,0.5314293503761292,9.876037628991712e-10
The Lord of the Rings,Arwen,0.5369120836257935,0.13767541508927209,0.5613481402397156,0.3554747701557557
The Lord of the Rings,Frodo Baggins,0.5058766007423401,7.772950034608088e-19,0.5208778381347656,2.7278014662328973e-15
The Lord of the Rings,Gandalf,0.4864636957645416,0.09746866306673561,0.5542777180671692,7.033810516240278e-14
The Lord of the Rings,Samwise Gamgee,0.5517087578773499,3.8548064641566814e-11,0.5776146054267883,9.676996866125244e-05
The Lord of the Rings,Bilbo Baggins,0.5337092280387878,4.5805541110707903e-10,0.5786937475204468,1.9219641008769527e-07
The Lord of the Rings,Ancalagon,0.554775595664978,0.47545085811179977,0.5769245624542236,2.807764820279166
The Lord of the Rings,Shadowfax,0.5957607626914978,0.2927387245204836,0.6053233742713928,1.8681914409463716
The Lord of the Rings,Aragorn II,0.5340953469276428,7.790942653197345e-10,0.5449525713920593,5.606434975876958e-10
The Lord of the Rings,Balin,0.5382952094078064,4.103898148002443e-05,0.5931556820869446,0.005788324562302763
The Lord of the Rings,Bard,0.49743297696113586,1.513431755035593e-06,0.5488898158073425,0.0027440762838703498
The Lord of the Rings,Beorn,0.568251371383667,0.41439611546383226,0.583055317401886,0.6914431552670909
The Lord of the Rings,Boromir,0.5634456872940063,0.13741699112937344,0.5519852638244629,0.036041852105710745
The Lord of the Rings,Celeborn,0.5163928270339966,0.00027145851323439213,0.5391075611114502,2.6678667806712923e-06
The Lord of the Rings,Celebrimbor,0.5292943120002747,8.400509612155592e-07,0.535026490688324,2.2258239370400033e-05
The Lord of the Rings,Denethor II,0.5547358393669128,0.3830326786009035,0.5633900165557861,0.2318774983593413
The Lord of the Rings,Éomer,0.5551220178604126,0.26030757070422855,0.5809876918792725,0.016484773756912274
The Lord of the Rings,Éowyn,0.5146462321281433,0.010036420854507499,0.5433553457260132,0.0001159294480610409
The Lord of the Rings,Faramir,0.557635486125946,0.006239813122901378,0.5817018747329712,8.39723844606111e-05
The Lord of the Rings,Galadriel,0.5037479400634766,1.2696701024189458e-14,0.5642900466918945,2.2838233215464662e-09
The Lord of the Rings,Gollum,0.5291568040847778,3.705028028504992,0.5690483450889587,8.699523896320845e-05
The Lord of the Rings,Gríma,0.5611333847045898,0.00031971563357319037,0.5658467411994934,0.003873079003626094
The Lord of the Rings,Halbarad,0.5784801244735718,0.1315032941545476,0.5705211758613586,1.4574939333592651
The Lord of the Rings,Isildur,0.5781658887863159,0.0008949671636997978,0.5898236036300659,8.089107747225476e-05
The Lord of the Rings,Fíli and Kíli,0.5999771356582642,0.12298746596347064,0.57950359582901,0.058364521297843856
The Lord of the Rings,Legolas,0.5791592597961426,5.113332499348577e-15,0.5770722031593323,1.767040882235597e-10
The Lord of the Rings,Lúthien,0.5439371466636658,0.004737062585408956,0.5713077783584595,0.10772462704136804
The Lord of the Rings,Maedhros,0.5790686011314392,0.095142802982454,0.5792950987815857,0.02779847305732587
The Lord of the Rings,Melian,0.5785197615623474,0.9025363030766189,0.574794352054596,0.44961797861258485
The Lord of the Rings,Meriadoc Brandybuck,0.5498647093772888,0.00012446244237352254,0.5681657195091248,0.12966122871109592
The Lord of the Rings,Peregrin Took,0.5486069917678833,0.022699958301035758,0.5507779121398926,0.039678350630889404
The Lord of the Rings,Radagast,0.5205700993537903,1.053411457126757e-05,0.5342246294021606,8.279434485379112e-05
The Lord of the Rings,Saruman,0.5060369372367859,9.899217857980596e-21,0.5668620467185974,5.295403477619966e-11
The Lord of the Rings,Sauron,0.5789322853088379,3.3386305991847778e-12,0.5731911063194275,5.325277603403349e-19
The Lord of the Rings,Shelob,0.5951125621795654,0.06828378959385989,0.5824890732765198,0.12354156851779453
The Lord of the Rings,Théoden,0.5545525550842285,0.0008290456730307245,0.5769675970077515,0.07750078417340972
The Lord of the Rings,Thingol,0.5325524806976318,0.006036504797281928,0.5507017374038696,0.04827251148395457
The Lord of the Rings,Thranduil,0.5195729732513428,5.866458878537014e-12,0.5610157251358032,1.3390760964466018e-05
The Lord of the Rings,Thrór,0.5547429919242859,0.023085436313796844,0.5685999393463135,0.2873471575431011
The Lord of the Rings,Thorin II,0.5379275679588318,0.0002295453908835037,0.5493768453598022,8.301275865876888e-07
The Lord of the Rings,Tom Bombadil,0.5519827604293823,0.0009282460298495459,0.5654622912406921,0.00011266059243729626
The Lord of the Rings,Treebeard,0.5381647944450378,0.06930069242232265,0.5744421482086182,0.06252745902938399
The Lord of the Rings,Túrin,0.5626612901687622,0.0011978251535998113,0.5474290251731873,0.0010389676952890906
The Lord of the Rings,Ungoliant,0.5472525358200073,0.37417543949614945,0.5747693181037903,0.5243456119436934
The Lord of the Rings,Morgoth,0.5371339917182922,3.0375320036764824e-18,0.5784084796905518,3.265795629487494e-14
The Lord of the Rings,Watcher in the Water,0.5617328882217407,0.005036569986287802,0.5825566053390503,1.6163135126783976e-07
The Lord of the Rings,Gil-galad,0.5772643089294434,0.001684988710059555,0.5849165916442871,0.00028023418970256374
The Lord of the Rings,Círdan,0.553114652633667,6.888162985563018e-05,0.5721114277839661,0.0034432402791173752
The Lord of the Rings,Khamûl,0.49405360221862793,0.13307021562905588,0.5407648682594299,0.7024747436692249
The Lord of the Rings,Thráin II,0.5593619346618652,3.289770308431845e-05,0.549403190612793,0.0002857439494687915
The Lord of the Rings,Glaurung,0.5521417856216431,0.031447779716484846,0.5653385519981384,0.3053506040396709
Harry Potter,Remus Lupin,0.4234248399734497,7.13646002871692e-40,0.4502548277378082,8.434023894921388e-21
Harry Potter,Minerva McGonagall,0.39556360244750977,2.1153681875759286e-74,0.46175262331962585,1.0199160405831493e-53
