Book,Character,F1,h,wF1,wh
The Lord of the Rings,Smaug,0.5015507340431213,5.004838303767057e-12,0.5529960989952087,5.611996296469298e-07
The Lord of the Rings,Gimli,0.4835466742515564,1.7847412999035477e-06,0.5416079163551331,0.024638149858779577
The Lord of the Rings,Elrond,0.5360152721405029,2.839668591472706e-05,0.5335156321525574,1.633587481324431e-05
The Lord of the Rings,Arwen,0.493246465921402,0.08765549345735642,0.531183660030365,0.2635930426979998
The Lord of the Rings,Frodo Baggins,0.4864082634449005,2.1745984994112282e-17,0.5676297545433044,1.8484529704556677e-08
The Lord of the Rings,Gandalf,0.48945486545562744,3.482748800879476e-39,0.5559438467025757,8.537526913583035e-14
The Lord of the Rings,Samwise Gamgee,0.5425846576690674,3.937179946292413e-10,0.5823348760604858,0.0002485532633412478
The Lord of the Rings,Bilbo Baggins,0.4778127372264862,5.997080118325449e-93,0.5490546822547913,5.605650315565308e-07
The Lord of the Rings,Ancalagon,0.5745759010314941,4.1892694572963425,0.6052698493003845,4.544569991484027
The Lord of the Rings,Shadowfax,0.6224778294563293,1.7175942891378289,0.6148388385772705,1.9714219260473622
The Lord of the Rings,Aragorn II,0.5183244943618774,1.4765109316005042e-08,0.5439724326133728,6.747405139781331e-12
The Lord of the Rings,Balin,0.5153865814208984,0.0037171150859989363,0.5659844875335693,0.00899304163834066
The Lord of the Rings,Bard,0.5035655498504639,0.011667752690476737,0.5629619359970093,0.0031130032542259368
The Lord of the Rings,Beorn,0.5743336081504822,0.2859192303420603,0.598109781742096,0.15407554431379097
The Lord of the Rings,Boromir,0.48724550008773804,0.026772665145756998,0.5577863454818726,0.07609622794198692
The Lord of the Rings,Celeborn,0.4809964895248413,3.0929334752995546e-11,0.5626426339149475,0.008869084606370033
The Lord of the Rings,Celebrimbor,0.516136646270752,1.3411937602809202e-06,0.5013521313667297,5.955852752708689e-11
The Lord of the Rings,Denethor II,0.5417104363441467,0.14267568736885433,0.5651096701622009,0.4485476149051312
The Lord of the Rings,Éomer,0.569170355796814,0.06632774186028709,0.5846097469329834,0.060422354872514586
The Lord of the Rings,Éowyn,0.5752246379852295,0.17665220944377258,0.5742315649986267,0.036187246590492245
The Lord of the Rings,Faramir,0.49028143286705017,1.6700703158366699e-22,0.5523663759231567,4.1541481982808395e-05
The Lord of the Rings,Galadriel,0.5415364503860474,4.372329747200607e-11,0.5580785274505615,7.375608451744264e-10
The Lord of the Rings,Gollum,0.47904589772224426,2.4747547741109224e-28,0.5469645857810974,4.741465540436228e-07
The Lord of the Rings,Gríma,0.5414962768554688,0.0014040690327283309,0.5831183195114136,0.02262046313593177
The Lord of the Rings,Halbarad,0.4990382194519043,0.13823947418210533,0.5650730133056641,1.5125902145942676
The Lord of the Rings,Isildur,0.514318585395813,0.0002690887948658539,0.54621821641922,0.017327724370765556
The Lord of the Rings,Fíli and Kíli,0.5735980868339539,0.0009851667951868244,0.5889543890953064,0.16364603795119756
The Lord of the Rings,Legolas,0.5186892151832581,4.7944220802678974e-24,0.583724319934845,2.8502492893339547e-09
The Lord of the Rings,Lúthien,0.5956390500068665,0.011233351861064613,0.5993440747261047,0.05950552901574949
The Lord of the Rings,Maedhros,0.5822654962539673,0.011873345562445767,0.5654446482658386,0.030304282296187698
The Lord of the Rings,Melian,0.568642795085907,0.4820294146165659,0.5772488117218018,0.5859594915320728
The Lord of the Rings,Meriadoc Brandybuck,0.5441402792930603,0.002131740866304817,0.562679648399353,0.6799241297925943
The Lord of the Rings,Peregrin Took,0.5318484306335449,0.2692060335335933,0.5542590618133545,0.2374488441743688
The Lord of the Rings,Radagast,0.5262231826782227,1.7547469280061835e-05,0.5205216407775879,2.6606774322600487e-05
The Lord of the Rings,Saruman,0.46714287996292114,5.896204108889357e-98,0.5533922910690308,1.184473108468568e-11
The Lord of the Rings,Sauron,0.48220404982566833,1.5777603004678571e-62,0.5719515085220337,1.2221334063712123e-19
The Lord of the Rings,Shelob,0.5028041005134583,1.2144310358752952e-12,0.5753321647644043,0.2937028728612532
The Lord of the Rings,Théoden,0.5545390844345093,0.12811398611516092,0.562267005443573,0.06416381995731624
The Lord of the Rings,Thingol,0.5166316032409668,0.007720161320651813,0.5382469296455383,0.22644635802823188
The Lord of the Rings,Thranduil,0.515102207660675,3.798305127718387e-11,0.5661547780036926,0.014089031696321707
The Lord of the Rings,Thrór,0.5830733180046082,0.11680144834495444,0.5529870390892029,0.06062249645428818
The Lord of the Rings,Thorin II,0.5464227199554443,0.0004284126620413034,0.575333297252655,0.002726743203049971
The Lord of the Rings,Tom Bombadil,0.560651421546936,0.0005328502053433043,0.5672776699066162,0.0005428128490563939
The Lord of the Rings,Treebeard,0.4938358664512634,0.01036945909547311,0.5689936876296997,0.35466768676741767
The Lord of the Rings,Túrin,0.5421173572540283,0.04298066116340245,0.5550504326820374,0.0017625311475901895
The Lord of the Rings,Ungoliant,0.524909496307373,0.24641648123038015,0.5736237168312073,0.7277688611379045
The Lord of the Rings,Morgoth,0.5276913642883301,5.3164041652534757e-17,0.5421412587165833,1.5246684081734514e-13
The Lord of the Rings,Watcher in the Water,0.58259117603302,0.0008455740605946621,0.6002125144004822,0.004847131360271871
The Lord of the Rings,Gil-galad,0.6103127002716064,0.0028920199616459903,0.5794858336448669,0.014416109784940545
The Lord of the Rings,Círdan,0.5649707317352295,0.03969258360485164,0.5829378366470337,0.017492189773682873
The Lord of the Rings,Khamûl,0.5351359248161316,0.46604049836107514,0.5849636793136597,1.381356707874084
The Lord of the Rings,Thráin II,0.5807884335517883,0.029681821437898315,0.5639391541481018,0.05039743396566628
The Lord of the Rings,Glaurung,0.5535544753074646,0.3629630472734391,0.5826680660247803,0.8313548871362959
Harry Potter,Dean Thomas,0.49100691080093384,1.964056739711877e-21,0.5423886179924011,6.595244790795994e-09
Harry Potter,Katie Bell,0.5012985467910767,0.000496268196985594,0.5672582387924194,4.619072452139013e-05
Harry Potter,Vincent Crabbe,0.4622730612754822,1.1250639826776048e-08,0.5160602331161499,0.0004350931133402081
Harry Potter,Bartemius Crouch Junior,0.5438398122787476,2.0680451746345212e-09,0.5474404096603394,1.3919049480481648e-09
Harry Potter,Seamus Finnigan,0.5138559937477112,6.541696306138895e-16,0.5381180644035339,2.4033985258907307e-06
Harry Potter,Harry Potter,0.40131044387817383,2.3430883707773023e-302,0.45158302783966064,1.886124558215295e-90
Harry Potter,Cormac McLaggen,0.5474498867988586,0.0013196453172605773,0.5296474099159241,0.0006933806875067524
Harry Potter,Hermione Granger,0.3828257620334625,0.0,0.45290300250053406,1.365026639534582e-49
Harry Potter,Ronald Weasley,0.45689618587493896,3.012107751716832e-67,0.4556145966053009,1.5991470488320035e-30
Harry Potter,Rita Skeeter,0.44299206137657166,2.1620884269442422e-18,0.5543853044509888,5.9324980022154e-07
Harry Potter,Padma Patil,0.4872567057609558,6.378623810573792e-06,0.5460124611854553,0.05523835729893233
Harry Potter,Myrtle Warren,0.508208155632019,1.076582645255686e-05,0.5474299788475037,2.642506336340502e-06
Harry Potter,Angelina Johnson,0.4537081718444824,1.842746895596017e-16,0.47131985425949097,9.816952547824026e-11
The Hunger Games,Effie Trinket,0.5359324812889099,8.321606180910708e-05,0.5681807994842529,3.9338994653042027e-14
The Hunger Games,Coriolanus Snow,0.48869258165359497,1.7029677076940517e-18,0.518031120300293,7.187736589710057e-17
